id	university	country_iso_num_code	wikipedia_url	established_year	page_id	namespace	title	is_redirect	is_new	touched	links_updated	latest	len	content_model	page_edits	creation	editors	views	references
1129	Chinese Univ Hong Kong	156.0	Chinese_University_Hong_Kong		268964	0	Chinese_University_of_Hong_Kong	0	0	20210629044408	20210629044804.0	1030990087	50005	wikitext	1668.0	2003-07-16	618.0	13303.0	55.0
1130	City Univ Hong Kong	156.0	City_University_of_Hong_Kong	1984.0	25587444	0	City_University_of_Hong_Kong	0	0	20210630142144	20210630142346.0	1025977320	35528	wikitext	1237.0	2009-12-28	347.0	8202.0	37.0
1131	Hong Kong Polytech Univ	156.0	Hong_Kong_Polytechnic_University	1937.0	268078	0	Hong_Kong_Polytechnic_University	0	0	20210626180850	20210625121031.0	1030354073	41350	wikitext	943.0	2003-07-15	350.0	8822.0	39.0
1132	Hong Kong Univ Sci & Technol	156.0	Hong_Kong_University_of_Science_and_Technology	1991.0	268987	0	Hong_Kong_University_of_Science_and_Technology	0	0	20210626180850	20210623124500.0	1021989476	42078	wikitext	1770.0	2003-07-16	574.0	11110.0	60.0
1133	Univ Hong Kong	156.0	University_of_Hong_Kong	1911.0	268075	0	University_of_Hong_Kong	0	0	20210628085611	20210628085753.0	1029347432	69242	wikitext	2475.0	2003-07-15	976.0	19795.0	96.0
1134	Shandong Univ	156.0	Shandong_University	1901.0	395980	0	Shandong_University	0	0	20210626180941	20210623124505.0	1026312473	92870	wikitext	773.0	2003-12-10	186.0	4514.0	53.0
1135	Lanzhou Univ	156.0	Lanzhou_University	1909.0	564351	0	Lanzhou_University	0	0	20210626212142	20210626212348.0	1028899243	19867	wikitext	253.0	2004-03-30	135.0	1849.0	8.0
1136	Nanjing Univ	156.0	Nanjing_University	1902.0	30876750	0	Nanjing_University	0	0	20210630195923	20210626221244.0	1028805462	63322	wikitext	2787.0	2004-04-21	456.0	10108.0	33.0
1137	Fudan Univ	156.0	Fudan_University	1905.0	72599	0	Fudan_University	0	0	20210626212135	20210626213106.0	1029910236	41978	wikitext	1072.0	2002-08-16	533.0	38814.0	39.0
1138	Shanghai Jiao Tong Univ	156.0	Shanghai_Jiao_Tong_University	1896.0	33708475	0	Shanghai_Jiao_Tong_University	0	0	20210627085510	20210627085504.0	1030656697	26302	wikitext	1307.0	2003-05-28	526.0	21039.0	19.0
1139	Nankai Univ	156.0	Nankai_University	1919.0	289881	0	Nankai_University	0	0	20210628064157	20210628064318.0	1030124675	37540	wikitext	596.0	2003-08-05	228.0	7892.0	49.0
1140	Huazhong Univ Sci & Technol	156.0	Huazhong_University_of_Science_&_Technology		1127585	0	Huazhong_University_of_Science_and_Technology	0	0	20210626181428	20210623125303.0	1021446528	27930	wikitext	966.0	2004-11-02	253.0	7062.0	11.0
1141	Wuhan Univ	156.0	Wuhan_University	1893.0	1046839	0	Wuhan_University	0	0	20210628073920	20210628074120.0	1025784468	33836	wikitext	610.0	2004-10-07	244.0	7395.0	29.0
1142	Lomonosov Moscow State Univ	643.0	Moscow_State_University	1755.0	374544	0	Moscow_State_University	0	0	20210626180931	20210623123104.0	1029564140	35977	wikitext	972.0	2003-11-21	570.0	41427.0	17.0
1143	St Petersburg State Univ	643.0	Saint_Petersburg_State_University	1724.0	649879	0	Saint_Petersburg_State_University	0	0	20210626201201	20210626202240.0	1030576227	40511	wikitext	706.0	2004-05-12	396.0	22806.0	13.0
1144	Nanyang Technol Univ	702.0	Nanyang_Tech_University		82305	0	Nanyang_Technological_University	0	0	20210626180553	20210626113717.0	1028648850	66063	wikitext	1994.0	2002-09-08	750.0	32285.0	63.0
