id	grid_id	short_name	full_name	Country	impact_P	impact_P_Bio_Health	impact_P_Life_Earth	impact_P_Math_Comp	impact_P_Phy_Eng	impact_P_Soc_Hum	P_top10	collab_P	P_int_collab	P_OA	TCS	TNCS	P_industry_collab	PA_F_MF	dimensions_wos
222	grid.6738.a	Tech Univ Braunschweig	Technische Universität Braunschweig	Germany	3685	585	691	385	1868	156	415.0	3685	1943.0	1687.0	26522.0	4056.0	284.0	21.9	67,403
223	grid.7704.4	Univ Bremen	University of Bremen	Germany	5078	663	2019	435	1475	487	622.0	5078	3248.0	2774.0	38848.0	6033.0	243.0	24.1	67,952
224	grid.6810.f	Chemnitz Univ Technol	Chemnitz University of Technology	Germany	1869	176	17	346	1131	200	159.0	1869	864.0	733.0	10055.0	1612.0	105.0	16.6	62,879
226	grid.6546.1	Tech Univ Darmstadt	Technische Universität Darmstadt	Germany	5471	421	381	971	3491	207	688.0	5471	3134.0	2477.0	38847.0	6433.0	382.0	15.8	67,854
227	grid.5675.1	TU Dortmund Univ	TU Dortmund University	Germany	3916	604	148	500	2304	361	417.0	3916	2165.0	2047.0	31694.0	4253.0	274.0	20.2	65,413
228	grid.4488.0	Tech Univ Dresden	Technische Universität Dresden	Germany	13278	5338	1078	940	5209	714	1922.0	13278	7912.0	7229.0	141438.0	18008.0	1044.0	27.9	73,933
229	grid.411327.2	Heinrich Heine Univ Düsseldorf	Heinrich Heine University Düsseldorf	Germany	7604	5199	628	178	1116	482	1057.0	7604	4189.0	4502.0	79291.0	10255.0	598.0	31.1	60,293
232	grid.5330.5	Friedrich-Alexander-Univ Erlangen-Nürnberg	Friedrich-Alexander-Universität Erlangen-Nürnberg	Germany	13121	6139	878	939	4638	527	1815.0	13121	7473.0	7053.0	140647.0	17800.0	1185.0	24.3	71,949
233	grid.5718.b	Univ Duisburg-Essen	University of Duisburg-Essen	Germany	8784	5033	592	637	1973	548	1406.0	8784	4909.0	4789.0	100114.0	13123.0	823.0	28.6	68,256
235	grid.7839.5	Goethe Univ Frankfurt	Goethe University Frankfurt	Germany	11375	5925	1554	356	2473	1068	1712.0	11375	6918.0	6874.0	111597.0	15956.0	867.0	31.0	69,745
236	grid.5963.9	Univ Freiburg	University of Freiburg	Germany	12487	6984	1761	571	2502	670	2005.0	12487	7647.0	7506.0	135580.0	18189.0	942.0	29.3	79,676
237	grid.8664.c	Justus Liebig Univ Giessen	Justus Liebig University Giessen	Germany	6783	2767	1521	172	1894	429	862.0	6783	4040.0	4043.0	54172.0	7814.0	444.0	29.7	78,145
238	grid.7450.6	Georg-August-Univ Göttingen	Georg-August-Universität Göttingen	Germany	12212	4753	3117	586	2767	990	1883.0	12212	7631.0	7365.0	131552.0	18132.0	717.0	29.5	77,818
239	grid.5603.0	Univ Greifswald	University of Greifswald	Germany	3831	2264	720	80	543	224	531.0	3831	2035.0	2110.0	37854.0	5458.0	321.0	31.6	76,56
