id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa
1123	Univ Otago	8376	4058	1138	397	6534	4189
1124	Peking Univ	37357	18526	4937	2091	30072	18190
1125	Tsinghua Univ	40386	21225	6226	3018	31544	14320
1126	Jilin Univ	26515	17890	2211	1338	16552	9477
1127	Zhejiang Univ	43033	25964	5315	2917	30948	17289
1128	Univ Sci & Technol China	24378	11837	3308	1549	19552	8383
1129	Chinese Univ Hong Kong	14305	6218	2307	855	11960	6740
1130	City Univ Hong Kong	11040	4684	1831	694	9509	2893
1131	Hong Kong Polytech Univ	13307	6096	2213	904	11151	3872
1132	Hong Kong Univ Sci & Technol	8229	3741	1406	581	6908	3095
1133	Univ Hong Kong	16566	7717	2529	992	13458	8079
1134	Shandong Univ	26502	15891	2481	1366	19206	10801
1135	Lanzhou Univ	11189	6462	1145	594	8270	3891
1136	Nanjing Univ	23867	12270	3027	1401	19306	9507
1137	Fudan Univ	30273	16625	3482	1586	22869	15101
1138	Shanghai Jiao Tong Univ	45645	26265	5385	2638	33008	19712
1139	Nankai Univ	12057	6432	1676	850	9208	3920
1140	Huazhong Univ Sci & Technol	29822	18750	3878	2260	20609	11425
1141	Wuhan Univ	23678	13986	2861	1570	17582	9705
1142	Lomonosov Moscow State Univ	13465	5120	979	196	11617	6169
1143	St Petersburg State Univ	6818	2838	469	126	5693	2934
1144	Nanyang Technol Univ	20608	10085	3544	1659	16612	7052
1145	Natl Univ Singapore	28376	12847	4810	1950	23633	12918
1146	Univ Cape Town	9716	3401	1429	316	8584	6436
1147	Univ Witwatersrand	8251	3167	951	208	6963	4961
1163	Univ New Mexico	8112	3129	1179	340	6895	5186
1164	Iowa State Univ	11173	5501	1482	625	8722	6992
1165	Univ Massachusetts Amherst	9106	3701	1419	473	7614	5275
1166	Univ Michigan	41266	18756	7398	2780	33072	28065
1167	Univ Georgia - Athens	12290	5834	1460	588	9917	6631
1168	Emory Univ	20124	7980	3659	1158	17104	13798
1169	Georgia Inst Technol	14789	6763	2482	967	12103	7223
1170	Auburn Univ	5877	2912	666	262	4696	2343
1172	Univ Texas - Austin	20750	9595	3488	1460	16426	11740
