grid_id	dimensions_wos
grid.410427.4	71,608
grid.11201.33	71,608
grid.417971.d	71,569
grid.411196.a	71,566
grid.7870.8	71,553
grid.49697.35	71,541
grid.5612.0	71,536
grid.9026.d	71,501
grid.266900.b	71,493
grid.53857.3c	71,429
grid.7252.2	71,394
grid.148374.d	71,363
grid.4827.9	71,296
grid.241054.6	71,294
grid.260120.7	71,293
grid.10493.3f	71,276
grid.147455.6	71,259
grid.258518.3	71,222
grid.411015.0	71,217
grid.13063.37	71,211
grid.10516.33	71,206
grid.4521.2	71,202
grid.10586.3a	71,173
grid.265050.4	71,162
grid.137628.9	71,147
grid.264260.4	71,12
grid.5292.c	71,112
grid.213917.f	71,085
grid.443909.3	71,006
grid.411377.7	70,956
grid.6603.3	70,951
grid.264784.b	70,921
grid.1017.7	70,91
grid.7273.1	70,903
grid.38678.32	70,884
grid.253615.6	70,871
grid.9531.e	70,864
grid.268154.c	70,759
grid.12641.30	70,71
grid.1039.b	70,689
grid.33764.35	70,676
grid.11630.35	70,607
grid.440568.b	70,601
grid.6289.5	70,594
grid.8073.c	70,559
grid.11142.37	70,431
grid.22903.3a	70,423
grid.251313.7	70,404
grid.1957.a	70,396
grid.440686.8	70,391
grid.225262.3	70,375
grid.266623.5	70,371
grid.7247.6	70,364
grid.411455.0	70,36
grid.411507.6	70,358
grid.9679.1	70,337
grid.261055.5	70,31
grid.24805.3b	70,295
grid.241116.1	70,285
grid.263791.8	70,283
grid.20627.31	70,268
grid.6652.7	70,266
grid.4701.2	70,261
grid.412763.5	70,251
grid.262743.6	70,249
grid.260433.0	70,238
grid.410543.7	70,181
grid.5100.4	70,145
grid.5329.d	70,134
grid.5560.6	70,12
grid.208226.c	70,069
grid.9759.2	70,056
grid.7159.a	70,046
grid.56061.34	70,006
grid.62813.3e	69,894
grid.27755.32	69,882
grid.412124.0	69,821
grid.181531.f	69,82
grid.12847.38	69,802
grid.4795.f	69,77
grid.164971.c	69,764
grid.266818.3	69,755
grid.7839.5	69,745
grid.11984.35	69,693
grid.166341.7	69,641
grid.21100.32	69,589
grid.266862.e	69,555
grid.16463.36	69,521
grid.266673.0	69,438
grid.54549.39	69,377
grid.263662.5	69,372
grid.5924.a	69,34
grid.19003.3b	69,331
grid.502801.e	69,31
grid.24695.3c	69,274
grid.261049.8	69,255
grid.267323.1	69,249
grid.25881.36	69,243
grid.267315.4	69,227
grid.11374.30	69,197
grid.34428.39	69,182
grid.438526.e	69,159
grid.6759.d	69,017
grid.77268.3c	68,998
grid.10400.35	68,997
grid.215654.1	68,945
grid.260128.f	68,943
grid.4808.4	68,916
grid.259956.4	68,911
grid.509737.f	68,868
grid.266869.5	68,857
grid.7345.5	68,821
grid.12295.3d	68,814
grid.5110.5	68,745
grid.267324.6	68,623
grid.7039.d	68,57
grid.410786.c	68,551
