id	university	established_year
3335	Nanjing Med Univ	1934
3336	Beihang Univ	1952
3337	Huazhong Agr Univ	1898
3338	China Med Univ	1931
3339	Nanjing Agr Univ	1902
3340	Zhengzhou Univ	1956
3341	Xidian Univ	1931
3342	Army Med Univ	1954
3343	Nanjing Univ Aeronaut & Astronaut	1952
3344	S China Normal Univ	1933
3345	Northeast Normal Univ	1946
3346	Nanjing Univ Sci & Technol	1953
3347	Nanjing Tech Univ	1902
3348	Natl Univ Defense Technol	1953
3349	Donghua Univ	1951
3350	Ocean Univ China	1924
3351	Northeastern Univ	1923
3352	Jiangsu Univ	1902
3353	Southwest Univ	1906
3354	China Pharmaceut Univ	1936
3356	Northwest Agr & Forestry Univ	1934
3357	Zhejiang Univ Technol	1953
3358	Beijing Univ Technol	1960
3359	Wuhan Univ Technol	1948
3360	Harbin Med Univ	1926
3361	Fuzhou Univ	1958
3362	Jinan Univ	1906
3363	Chongqing Med Univ	1956
3364	Beijing Jiaotong Univ	1896
