id	university	grid_id
1277	Princeton Univ	grid.16750.35
1278	Brown Univ	grid.40263.33
1279	Brigham Young Univ	grid.253294.b
1280	Washington State Univ	grid.30064.31
1281	N Carolina State Univ	grid.40803.3f
1282	Univ Nevada - Reno	grid.266818.3
1283	Virginia Commonwealth Univ	grid.224260.0
1284	Univ California - Riverside	grid.266097.c
1285	Univ Rochester	grid.16416.34
1286	Univ Utah	grid.223827.e
1287	Univ Texas - San Antonio	grid.215352.2
1288	Univ California - San Diego	grid.266100.3
1289	Univ California - San Francisco	grid.266102.1
1290	Univ California - Santa Barbara	grid.133342.4
1291	Univ California - Santa Cruz	grid.205975.c
1292	Univ Washington - Seattle	grid.34477.33
1293	St Louis Univ	grid.262962.b
1294	Washington Univ St Louis	grid.4367.6
1296	Stanford Univ	grid.168010.e
1297	Oklahoma State Univ - Stillwater	grid.65519.3e
1298	Stony Brook Univ - SUNY	grid.36425.36
1299	Univ Connecticut	grid.63054.34
1300	Syracuse Univ	grid.264484.8
1301	Florida State Univ	grid.255986.5
1302	Univ S Florida - Tampa	grid.170693.a
1303	Arizona State Univ	grid.215654.1
1304	Rensselaer Polytech Inst	grid.33647.35
1305	Univ Arizona	grid.134563.6
1306	Univ Alabama - Tuscaloosa	grid.411015.0
1307	Penn State Univ	grid.29857.31
1308	Univ Illinois - Urbana-Champaign	grid.35403.31
1309	George Washington Univ	grid.253615.6
1310	Georgetown Univ	grid.213910.8
1311	Wake Forest Univ	grid.241167.7
1312	Univ Massachusetts Med Sch	grid.168645.8
1315	Med Univ Graz	grid.11598.34
1316	Med Univ Innsbruck	
1317	Med Univ Vienna	grid.22937.3d
1318	Brandeis Univ	grid.253264.4
1335	Griffith Univ	grid.1022.1
1336	RMIT Univ	grid.1017.7
1337	Univ S Australia	grid.1026.5
1338	Univ Technol - Sydney	grid.117476.2
1339	Flinders Univ	grid.1014.4
1349	Alexandria Univ	grid.7155.6
1363	Univ Sains Malaysia	grid.11875.3a
1364	Univ Guadalajara	grid.412890.6
1371	HSE Univ	
1373	King Abdulaziz Univ	grid.412125.1
1374	King Saud Univ	grid.56302.32
1375	King Fahd Univ Petrol & Minerals	grid.412135.0
1379	Univ Sfax	grid.412124.0
1399	Karlsruhe Inst Technol	grid.7892.4
1400	Aalto Univ	grid.5373.2
1407	Northwestern Polytech Univ	grid.440588.5
1408	Sichuan Univ	grid.13291.38
1409	Harbin Inst Technol	grid.19373.3f
1410	Dalian Univ Technol	grid.30055.33
1411	Tianjin Univ	grid.33763.32
1412	Sun Yat-sen Univ	grid.12981.33
1413	Xiamen Univ	grid.12955.3a
1414	Beijing Normal Univ	grid.20513.35
1415	China Agr Univ	grid.22935.3f
1416	Tongji Univ	grid.24516.34
1417	Shanghai Univ	grid.39436.3b
1418	E China Univ Sci & Technol	grid.28056.39
1419	Xi'an Jiaotong Univ	grid.43169.39
1431	Univ Pretoria	grid.49697.35
1432	Stellenbosch Univ	
1433	Univ Wollongong	grid.1007.6
1434	Univ Tasmania	grid.1009.8
1435	Queensland Univ Technol	grid.1024.7
1436	La Trobe Univ	grid.1018.8
1437	Macquarie Univ	grid.1004.5
1438	Univ Sherbrooke	grid.86715.3d
1439	Concordia Univ	
1440	York Univ	grid.21100.32
1441	Mem Univ Newfoundland	grid.25055.37
1442	Yokohama City Univ	grid.268441.d
1443	Nihon Univ	grid.260969.2
1444	Juntendo Univ	grid.258269.2
1451	Massey Univ	grid.148374.d
1452	Univ Malaya	grid.10347.31
1458	Pontificia Univ Católica Chile	
1459	Univ Fed São Paulo	
1460	Univ Fed Santa Catarina	grid.411237.2
1461	Univ Estadual Paulista	grid.410543.7
1462	Univ Cent Florida	grid.170430.1
1463	Drexel Univ	grid.166341.7
1464	Univ Albany - SUNY	grid.265850.c
1465	Georgia State Univ	grid.256304.6
1466	Utah State Univ	grid.53857.3c
1467	San Diego State Univ	grid.263081.e
1468	Univ Toledo	grid.267337.4
1469	Rush Univ	grid.262743.6
1470	Univ Mississippi	grid.251313.7
1471	Univ Wisconsin - Milwaukee	grid.267468.9
1472	Univ New Hampshire	grid.167436.1
1473	Mississippi State Univ	grid.260120.7
1474	George Mason Univ	grid.22448.38
1475	Univ Belgrade	grid.7149.b
1476	Fed Univ Mato Grosso	
1477	Univ East Finland	grid.9668.1
1479	Univ Fed Paraná	grid.20736.30
1480	Univ Fed Viçosa	grid.12799.34
1481	Fed Univ Pernambuco	grid.411227.3
1482	Fed Univ Santa Maria	grid.411239.c
1483	Univ Brasília	grid.7632.0
1484	Univ Fed Ceará	grid.8395.7
1485	Fed Univ São Carlos	grid.411247.5
1486	Rio de Janeiro State Univ	grid.412211.5
1487	State Univ Maringá	grid.271762.7
1488	Univ Fed Bahia	grid.8399.b
1489	Univ Fed Fluminense	grid.411173.1
1490	Londrina State Univ	
1491	Univ Fed Uberlândia	grid.411284.a
1492	Univ Fed Goiás	
1493	Fed Univ Paraíba	grid.411216.1
1494	Fed Univ Lavras	
